,Serial,Model,Target Timestamp,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,TARGET
27,1558041,model 18,2017-03-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1612713,model 18,2017-03-19 00:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1625343,model 10,2017-03-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1554481,model 20,2017-03-26 00:00:00,0.0,0.0,0.0,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1555490,model 13,2017-03-26 00:00:00,1422.0,901.0,2026.0,1188.0,812.0,1020.0,2576.0,1216.0,1212.0,941.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,9.0,9.0,4.0,0.0
32,1558041,model 18,2017-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1612713,model 18,2017-03-26 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1625343,model 10,2017-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1554481,model 20,2017-04-02 00:00:00,0.0,0.0,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0
36,1555490,model 13,2017-04-02 00:00:00,901.0,2026.0,1188.0,812.0,1020.0,2576.0,1216.0,1212.0,941.0,0.0,6.0,5.0,7.0,5.0,6.0,6.0,9.0,9.0,4.0,0.0,1255.0
37,1558041,model 18,2017-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1612713,model 18,2017-04-02 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1625343,model 10,2017-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1554481,model 20,2017-04-09 00:00:00,0.0,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1555490,model 13,2017-04-09 00:00:00,2026.0,1188.0,812.0,1020.0,2576.0,1216.0,1212.0,941.0,0.0,1255.0,5.0,7.0,5.0,6.0,6.0,9.0,9.0,4.0,0.0,6.0,2240.0
42,1558041,model 18,2017-04-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1612713,model 18,2017-04-09 00:00:00,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1625343,model 10,2017-04-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1554481,model 20,2017-04-16 00:00:00,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1555490,model 13,2017-04-16 00:00:00,1188.0,812.0,1020.0,2576.0,1216.0,1212.0,941.0,0.0,1255.0,2240.0,7.0,5.0,6.0,6.0,9.0,9.0,4.0,0.0,6.0,9.0,1185.0
47,1558041,model 18,2017-04-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1612713,model 18,2017-04-16 00:00:00,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
